program_id,decision_date,outcome,decisive_archetype,label_status,decisive_confidence,why_this_archetype_decided,label_source,label_date,pivotal_evidence_event,pivotal_evidence_date,single_question_dominant,competing_archetypes,_seed_rationale,_pool_signals
melflufen_myeloma,2021-01-01,failed,TOLERABILITY_CEILING,seed_review,medium,[SEED — REVIEW] OCEAN trial ORR in R/R myeloma; peptide-drug conjugate; serious myelosuppression; FDA withdrew approval after Phase 3 failed OS; included for safety_serious + biomarker_only,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (MM_rr),2021-12-31,false,TARGET_VALIDITY,safety=serious(+3->TOLERABILITY_CEILING); competition=high(+3->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY); endpoint=biomarker_only(+1->TARGET_VALIDITY); notes~tolerability_ceiling(+2->TOLERABILITY_CEILING) | top=TOLERABILITY_CEILING(5) second=4 dominant=False,phase=phase_2;moa=novel;biomarker=false;safety=serious;competition=high;endpoint=biomarker_only
olaparib_brca_lung,2021-01-01,failed,DIFFERENTIATION,seed_review,low,[SEED — REVIEW] NCT02106546 ORR in BRCA-mutant NSCLC; PARP inhibitor; validated MoA from other tumor types; failed to show benefit in lung,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (BRCA_NSCLC),2021-12-31,false,,competition=moderate(+1->DIFFERENTIATION) | top=DIFFERENTIATION(1) second=0 dominant=False,phase=phase_2;moa=validated;biomarker=true;safety=minor;competition=moderate;endpoint=surrogate_validated
venetoclax_aml_fit,2022-01-01,failed,TARGET_VALIDITY,seed_review,low,[SEED — REVIEW] VIALE-B CR/CRi in AML-fit patients; BCL-2 inhibitor; MoA validated in AML-unfit/CLL; failed primary OS endpoint in fit population,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_3 readout (AML_fit),2022-12-31,false,DIFFERENTIATION,competition=moderate(+1->DIFFERENTIATION); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(1) second=1 dominant=False,phase=phase_3;moa=validated;biomarker=false;safety=minor;competition=moderate;endpoint=hard_clinical
adavosertib_ovarian,2021-01-01,failed,TOLERABILITY_CEILING,seed_review,high,[SEED — REVIEW] WGSG failed ORR in BRCA-mutant ovarian; WEE1 inhibitor; novel MoA; Grade 3-4 myelosuppression and GI toxicity limited dosing; program discontinued,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (Ovarian_BRCA),2021-12-31,true,,safety=concerning(+2->TOLERABILITY_CEILING); competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); notes~tolerability_ceiling(+2->TOLERABILITY_CEILING) | top=TOLERABILITY_CEILING(4) second=2 dominant=True,phase=phase_2;moa=novel;biomarker=true;safety=concerning;competition=moderate;endpoint=surrogate_validated
onartuzumab_nsclc,2014-01-01,failed,TARGET_VALIDITY,seed_review,medium,[SEED — REVIEW] METLung development stopped after Phase 3 miss following Phase 2 signal; MET antibody; biomarker strategy did not translate,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (NSCLC_MET),2014-12-31,false,DIFFERENTIATION,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY) | top=TARGET_VALIDITY(2) second=1 dominant=False,phase=phase_2;moa=novel;biomarker=true;safety=minor;competition=moderate;endpoint=surrogate_validated
ganetespib_nsclc,2015-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] HSP90 inhibitor program failed to confirm Phase 2 signal in NSCLC; development discontinued,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (NSCLC_2L),2015-12-31,true,,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=1 dominant=True,phase=phase_2;moa=novel;biomarker=false;safety=minor;competition=moderate;endpoint=surrogate_validated
elesclomol_melanoma,2009-01-01,failed,TARGET_VALIDITY,seed_review,medium,[SEED — REVIEW] Oxidative stress inducer showed early signal but failed survival endpoint; program halted,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (Melanoma),2009-12-31,false,TOLERABILITY_CEILING,safety=concerning(+2->TOLERABILITY_CEILING); competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=2 dominant=False,phase=phase_2;moa=novel;biomarker=false;safety=concerning;competition=moderate;endpoint=hard_clinical
vadimezan_nsclc,2010-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] Vascular-disrupting agent failed Phase 3 after randomized Phase 2 signal; NSCLC program discontinued,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (NSCLC),2010-12-31,true,,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=1 dominant=True,phase=phase_2;moa=novel;biomarker=false;safety=minor;competition=moderate;endpoint=hard_clinical
figitumumab_nsclc,2010-01-01,failed,TOLERABILITY_CEILING,seed_review,medium,[SEED — REVIEW] IGF-1R antibody development halted after excess deaths and lack of benefit in NSCLC,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (NSCLC),2010-12-31,false,TARGET_VALIDITY,safety=concerning(+2->TOLERABILITY_CEILING); competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY); notes~tolerability_ceiling(+2->TOLERABILITY_CEILING) | top=TOLERABILITY_CEILING(4) second=3 dominant=False,phase=phase_2;moa=novel;biomarker=false;safety=concerning;competition=moderate;endpoint=hard_clinical
iniparib_tnbc,2011-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] Phase 2 breast cancer signal failed to reproduce in Phase 3; PARP-like mechanism later questioned,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (TNBC),2011-12-31,true,,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=1 dominant=True,phase=phase_2;moa=novel;biomarker=false;safety=minor;competition=moderate;endpoint=hard_clinical
dalotuzumab_crc,2013-01-01,failed,TARGET_VALIDITY,seed_review,medium,[SEED — REVIEW] IGF-1R antibody combination failed to improve outcomes in biomarker-selected colorectal cancer,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (Colorectal),2013-12-31,false,DIFFERENTIATION,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY) | top=TARGET_VALIDITY(2) second=1 dominant=False,phase=phase_2;moa=novel;biomarker=true;safety=minor;competition=moderate;endpoint=surrogate_validated
trebananib_ovarian,2014-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] Angiopoietin inhibitor showed early PFS signal but failed OS-supported development path,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (Ovarian),2014-12-31,true,,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=1 dominant=True,phase=phase_2;moa=novel;biomarker=false;safety=minor;competition=moderate;endpoint=hard_clinical
custirsen_prostate,2017-01-01,failed,TARGET_VALIDITY,seed_review,high,[SEED — REVIEW] Clusterin antisense program failed Phase 3 after Phase 2 signal in prostate cancer,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_2 readout (Prostate),2017-12-31,true,,competition=moderate(+1->DIFFERENTIATION); moa=novel(+2->TARGET_VALIDITY); unselected(biomarker_enriched=false)(+1->TARGET_VALIDITY) | top=TARGET_VALIDITY(3) second=1 dominant=True,phase=phase_2;moa=novel;biomarker=false;safety=minor;competition=moderate;endpoint=hard_clinical
etrolizumab_uc,2020-01-01,failed,DIFFERENTIATION,seed_review,medium,[SEED — REVIEW] Roche/Genentech discontinued ulcerative-colitis development after mixed/negative Phase 3 etrolizumab results reported in 2020,phase_transitions.csv heuristic seed (REVIEW REQUIRED),2026-07-03,phase_3 readout (Ulcerative colitis),2020-12-31,false,TOLERABILITY_CEILING,competition=high(+3->DIFFERENTIATION); moa=partial(+1->TARGET_VALIDITY); notes~tolerability_ceiling(+2->TOLERABILITY_CEILING) | top=DIFFERENTIATION(3) second=2 dominant=False,phase=phase_3;moa=partial;biomarker=true;safety=clean;competition=high;endpoint=hard_clinical
